YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,MT,Montana,25.3,,,Some college or technical school,,,,"(47.06652897200047, -109.42442064499971)",Some college or technical school,EDU,EDUCOTEC
2011,2011,US,National,28.6,,,Some college or technical school,,,,,Some college or technical school,EDU,EDUCOTEC
2011,2011,NE,Nebraska,30,,,Some college or technical school,,,,"(41.6410409880005, -99.36572062299967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,NV,Nevada,27.4,,,Some college or technical school,,,,"(39.493240390000494, -117.07184056399967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,NH,New Hampshire,29.1,,,Some college or technical school,,,,"(43.65595011300047, -71.50036091999965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,NJ,New Jersey,25.1,,,Some college or technical school,,,,"(40.13057004800049, -74.27369128799967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,NM,New Mexico,27,,,Some college or technical school,,,,"(34.52088095200048, -106.24058098499967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,NY,New York,27.1,,,Some college or technical school,,,,"(42.82700103200045, -75.54397042699964)",Some college or technical school,EDU,EDUCOTEC
2011,2011,NC,North Carolina,31.4,,,Some college or technical school,,,,"(35.466220975000454, -79.15925046299964)",Some college or technical school,EDU,EDUCOTEC
2011,2011,ND,North Dakota,29.2,,,Some college or technical school,,,,"(47.47531977900047, -100.11842104899966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,OH,Ohio,30.5,,,Some college or technical school,,,,"(40.06021014100048, -82.40426005599966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,OK,Oklahoma,31.3,,,Some college or technical school,,,,"(35.47203135600046, -97.52107021399968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,OR,Oregon,31.4,,,Some college or technical school,,,,"(44.56744942400047, -120.15503132599969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,PA,Pennsylvania,30,,,Some college or technical school,,,,"(40.79373015200048, -77.86070029399963)",Some college or technical school,EDU,EDUCOTEC
2011,2011,RI,Rhode Island,27.9,,,Some college or technical school,,,,"(41.70828019300046, -71.52247031399963)",Some college or technical school,EDU,EDUCOTEC
2011,2011,SC,South Carolina,32.9,,,Some college or technical school,,,,"(33.998821303000454, -81.04537120699968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,SD,South Dakota,27.2,,,Some college or technical school,,,,"(44.353130053000484, -100.3735306369997)",Some college or technical school,EDU,EDUCOTEC
2011,2011,TN,Tennessee,28,,,Some college or technical school,,,,"(35.68094058000048, -85.77449091399967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,TX,Texas,32.2,,,Some college or technical school,,,,"(31.827240407000488, -99.42677020599967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,UT,Utah,25.4,,,Some college or technical school,,,,"(39.360700171000474, -111.58713063499971)",Some college or technical school,EDU,EDUCOTEC
2011,2011,VT,Vermont,25.1,,,Some college or technical school,,,,"(43.62538123900049, -72.51764079099962)",Some college or technical school,EDU,EDUCOTEC
2011,2011,VA,Virginia,29.2,,,Some college or technical school,,,,"(37.54268067400045, -78.45789046299967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,WA,Washington,30.2,,,Some college or technical school,,,,"(47.52227862900048, -120.47001078999972)",Some college or technical school,EDU,EDUCOTEC
2011,2011,WV,West Virginia,32.8,,,Some college or technical school,,,,"(38.66551020200046, -80.71264013499967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,WI,Wisconsin,26.9,,,Some college or technical school,,,,"(44.39319117400049, -89.81637074199966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,WY,Wyoming,25.4,,,Some college or technical school,,,,"(43.23554134300048, -108.10983035299967)",Some college or technical school,EDU,EDUCOTEC
2011,2011,AL,Alabama,33.6,,,Less than high school,,,,"(32.84057112200048, -86.63186076199969)",Less than high school,EDU,EDUHS
2011,2011,AK,Alaska,28.8,,,Less than high school,,,,"(64.84507995700051, -147.72205903599973)",Less than high school,EDU,EDUHS
2011,2011,AZ,Arizona,36.2,,,Less than high school,,,,"(34.865970280000454, -111.76381127699972)",Less than high school,EDU,EDUHS
2011,2011,AR,Arkansas,31.1,,,Less than high school,,,,"(34.74865012400045, -92.27449074299966)",Less than high school,EDU,EDUHS
2011,2011,CA,California,32.9,,,Less than high school,,,,"(37.63864012300047, -120.99999953799971)",Less than high school,EDU,EDUHS
2011,2011,CO,Colorado,25.7,,,Less than high school,,,,"(38.843840757000464, -106.13361092099967)",Less than high school,EDU,EDUHS
2011,2011,CT,Connecticut,31.2,,,Less than high school,,,,"(41.56266102000046, -72.64984095199964)",Less than high school,EDU,EDUHS
2011,2011,DE,Delaware,35.2,,,Less than high school,,,,"(39.008830667000495, -75.57774116799965)",Less than high school,EDU,EDUHS
2011,2011,DC,District of Columbia,39.7,,,Less than high school,,,,"(38.89037138500049, -77.03196112699965)",Less than high school,EDU,EDUHS
2011,2011,FL,Florida,32.7,,,Less than high school,,,,"(28.932040377000476, -81.92896053899966)",Less than high school,EDU,EDUHS
2011,2011,GA,Georgia,34.1,,,Less than high school,,,,"(32.83968109300048, -83.62758034599966)",Less than high school,EDU,EDUHS
2011,2011,HI,Hawaii,27.1,,,Less than high school,,,,"(21.304850435000446, -157.85774940299973)",Less than high school,EDU,EDUHS
2011,2011,ID,Idaho,32.8,,,Less than high school,,,,"(43.682630005000476, -114.3637300419997)",Less than high school,EDU,EDUHS
2011,2011,IL,Illinois,29,,,Less than high school,,,,"(40.48501028300046, -88.99771017799969)",Less than high school,EDU,EDUHS
2011,2011,IN,Indiana,36.2,,,Less than high school,,,,"(39.766910452000445, -86.14996019399968)",Less than high school,EDU,EDUHS
2011,2011,IA,Iowa,28.2,,,Less than high school,,,,"(42.46940091300047, -93.81649055599968)",Less than high school,EDU,EDUHS
